able	할 수 있는
feather	깃털
feed	먹이다
fence	울타리
fever	열
fierce	사나운, 맹렬한
fight	싸우다
figure	인물, 모양, 숫자
fill	채우다
finally	마침내, 최후로
firm	굳은, 회사
flame	불꽃
flashlight	회중전등, 카메라의 플래시
flat	평평한
flight	비행
float	뜨다
flood	홍수
flow	흐르다
flute	플룻, 피리
fog	안개
folk	사람들
follow	따르다
foolish	어리석은
force	힘, 강요하다
foreign	외국의
forest	숲
fortunately	운좋게, 다행히
forward	앞으로
foundation	기초
fountain-pen	만년필
frankly	솔직히
french	프랑스사람, 프랑스어
fresh	새로운, 신선한
frighten	두렵게하다
frog	개구리
front	정면, 앞부분
fruit	과일
fun	재미
funeral	장례식
fur	모피
furniture	가구
further	더욱이, 그 이상의
future	미래
gain	얻다
gallery	화랑
garage	차고
gather	모으다
gay	명랑한, 화려한
gaze	응시하다
general	일반적인, 장군
german	독일사람, 독일어
gesture	몸짓
giant	거대한
gift	선물, 타고난 재능
giraffe	기린
glory	영광
goal	목표, 골
god	신
government	정부
grab	움켜잡다
grade	학년, 등급
graduate	졸업하다
grain	곡식, 낱알
grammar	문법
grand	웅장한, 광대한
grass	풀, 잔디
grave	무덤, 중대한
gray	회색
greedy	탐욕스러운
greeting	인사
ground	땅, 운동장
group	집단
guard	지키다, 경계
guess	추측하다
guest	손님
guide	안내자, 안내하다
gun	총
habit	습관, 버릇
halt	정지하다
hand	손, 건네주다
handle	손잡이, 다루다
handshake	악수
handsome	잘생긴, 멋진
hang	걸다, 매달다
happen	발생하다
hardly	거의~하지 않다
harmful	해로운
harvest	수확
haste	성급한, 서두름
hate	미워하다
hawk	매
hay	건초
health	건강
heart	심장
heat	열, 더위
heaven	하늘
heavy	무거운
hero	영웅, 주인공
hesitate	주저하다, 망설이다
hide	감추다, 숨다
history	역사
hit	치다
hobby	취미
hold	붙잡다, 개최하다
hole	구멍
holiday	휴일, 휴가
hollow	속이 빈, 움푹 꺼진
homesick	향수병의
hometown	고향
honest	정직한
honor	명예, 경의
hop	한 발로 깡총 뛰다
horizon	수평선
horn	뿔, 경적
hospital	병원
however	그러나, 아무리~해도
howl	짖다, 울부짖다
huge	거대한
hunger	굶주림
